[1652632985.9767425, 'eyes_strained']
[1652632996.0146298, 'eyes_strained']
[1652633006.0569246, 'eyes_strained']
[1652633016.1078563, 'eyes_strained']
[1652633026.1456919, 'eyes_strained']
[1652633036.1802227, 'eyes_strained']
[1652633046.2110162, 'eyes_strained']
[1652633056.2426693, 'eyes_strained']
[1652633066.2766066, 'eyes_strained']
[1652633076.3100777, 'eyes_strained']
